Date,Source,Site ID,POC,NO2,Units,AQI,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
12/24/2018,AQS,360050133,1,28.5,ppb,26,PFIZER LAB SITE,22,92,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.8679,-73.87809
12/25/2018,AQS,360050133,1,15.7,ppb,14,PFIZER LAB SITE,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.8679,-73.87809
12/26/2018,AQS,360050133,1,28.8,ppb,26,PFIZER LAB SITE,22,92,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.8679,-73.87809
12/27/2018,AQS,360050133,1,27.1,ppb,25,PFIZER LAB SITE,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.8679,-73.87809
12/28/2018,AQS,360050133,1,45,ppb,42,PFIZER LAB SITE,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.8679,-73.87809
12/29/2018,AQS,360050133,1,16.8,ppb,15,PFIZER LAB SITE,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.8679,-73.87809
12/30/2018,AQS,360050133,1,32.2,ppb,30,PFIZER LAB SITE,24,100,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.8679,-73.87809
12/31/2018,AQS,360050133,1,31.4,ppb,29,PFIZER LAB SITE,21,88,42602,Nitrogen dioxide (NO2),574,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.8679,-73.87809
01/01/2018,AQS,360290005,3,43.3,ppb,41,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/02/2018,AQS,360290005,3,12.9,ppb,11,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/03/2018,AQS,360290005,3,17.7,ppb,16,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/04/2018,AQS,360290005,3,25.3,ppb,24,BUFFALO,20,83,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/05/2018,AQS,360290005,3,10,ppb,9,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/06/2018,AQS,360290005,3,11.9,ppb,10,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/07/2018,AQS,360290005,3,36.2,ppb,34,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/08/2018,AQS,360290005,3,15.5,ppb,14,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/09/2018,AQS,360290005,3,35,ppb,33,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/10/2018,AQS,360290005,3,44,ppb,42,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/11/2018,AQS,360290005,3,24.7,ppb,23,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/12/2018,AQS,360290005,3,13.4,ppb,12,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/13/2018,AQS,360290005,3,17.3,ppb,16,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
01/14/2018,AQS,360290005,3,41,ppb,39,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
