Date,Source,Site ID,POC,CO,Units,AQI,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
12/20/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/21/2021,AQS,360610135,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/22/2021,AQS,360610135,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/23/2021,AQS,360610135,1,0.3,ppm,3,CCNY,18,75,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/24/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/25/2021,AQS,360610135,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/26/2021,AQS,360610135,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/27/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/28/2021,AQS,360610135,1,0.4,ppm,5,CCNY,9,38,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/29/2021,AQS,360610135,1,0.5,ppm,6,CCNY,18,75,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/30/2021,AQS,360610135,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/31/2021,AQS,360610135,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
01/01/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,19,79,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/02/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/03/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/04/2021,AQS,360810124,1,0.2,ppm,2,QUEENS COLLEGE 2,3,13,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/05/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,15,63,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/06/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/07/2021,AQS,360810124,1,0.2,ppm,2,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/08/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/09/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/10/2021,AQS,360810124,1,0.4,ppm,5,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/11/2021,AQS,360810124,1,0.8,ppm,9,QUEENS COLLEGE 2,18,75,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/12/2021,AQS,360810124,1,0.8,ppm,9,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/13/2021,AQS,360810124,1,0.6,ppm,7,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/14/2021,AQS,360810124,1,0.8,ppm,9,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/15/2021,AQS,360810124,1,0.5,ppm,6,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
01/16/2021,AQS,360810124,1,0.3,ppm,3,QUEENS COLLEGE 2,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,81,Queens,40.73614,-73.82153
